Date,Open,High,Low,Close,Adj Close,Volume
2018-03-08,1115.319946,1127.599976,1112.800049,1126.000000,1126.000000,1355100
2018-03-09,1136.000000,1160.800049,1132.461060,1160.040039,1160.040039,2128000
2018-03-12,1163.849976,1177.050049,1157.420044,1164.500000,1164.500000,2172300
2018-03-13,1170.000000,1176.760010,1133.329956,1138.170044,1138.170044,1907200
2018-03-14,1145.209961,1158.589966,1141.439941,1149.489990,1149.489990,1291400
2018-03-15,1149.959961,1161.079956,1134.540039,1149.579956,1149.579956,1395400
2018-03-16,1154.140015,1155.880005,1131.959961,1135.729980,1135.729980,3092000
2018-03-19,1120.010010,1121.989990,1089.010010,1099.819946,1099.819946,2805900
2018-03-20,1099.000000,1105.199951,1083.459961,1097.709961,1097.709961,1831900
2018-03-21,1092.739990,1106.300049,1085.150024,1090.880005,1090.880005,1878900
2018-03-22,1081.880005,1082.900024,1045.910034,1049.079956,1049.079956,2667000
2018-03-23,1047.030029,1063.359985,1021.219971,1021.570007,1021.570007,2156700
2018-03-26,1046.000000,1055.630005,1008.400024,1053.209961,1053.209961,2665100
2018-03-27,1063.000000,1064.838989,996.919983,1005.099976,1005.099976,3095300
2018-03-28,998.000000,1024.229980,980.640015,1004.559998,1004.559998,3369300
2018-03-29,1011.630005,1043.000000,1002.900024,1031.790039,1031.790039,2726800
2018-04-02,1022.820007,1034.800049,990.369995,1006.469971,1006.469971,2680400
2018-04-03,1013.909973,1020.989990,994.070007,1013.409973,1013.409973,2275100
2018-04-04,993.409973,1028.718018,993.000000,1025.140015,1025.140015,2484700
2018-04-05,1041.329956,1042.790039,1020.130981,1027.810059,1027.810059,1345000
2018-04-06,1020.000000,1031.420044,1003.030029,1007.039978,1007.039978,1746430
